"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:0003341"	"cilium movement"	"14/117"	"171/17062"	1.13387005347567e-11	2.23825948556097e-08	2.08154670869638e-08	"Dnah5/Dnah11/Cfap65/Ak7/Cfap44/Spag6l/Rsph4a/Drc7/Ttc21a/Wdr63/Spag16/Dnah9/Ccdc40/Dnah6"	14
"BP"	"GO:0035082"	"axoneme assembly"	"10/117"	"70/17062"	4.36846969352133e-11	4.31167958750555e-08	4.00979533973747e-08	"Dnah5/Cfap65/Foxj1/Ak7/Cfap44/Spag6l/Rsph4a/Wdr63/Spag16/Ccdc40"	10
"BP"	"GO:0001578"	"microtubule bundle formation"	"10/117"	"103/17062"	2.15079504619157e-09	1.41522314039406e-06	1.31613563528355e-06	"Dnah5/Cfap65/Foxj1/Ak7/Cfap44/Spag6l/Rsph4a/Wdr63/Spag16/Ccdc40"	10
"BP"	"GO:0060294"	"cilium movement involved in cell motility"	"10/117"	"122/17062"	1.1270480901007e-08	5.56198232464696e-06	5.1725575503569e-06	"Dnah5/Dnah11/Cfap65/Cfap44/Spag6l/Drc7/Ttc21a/Wdr63/Spag16/Ccdc40"	10
"BP"	"GO:0001539"	"cilium or flagellum-dependent cell motility"	"10/117"	"129/17062"	1.93197430080892e-08	6.35619544966134e-06	5.91116347475571e-06	"Dnah5/Dnah11/Cfap65/Cfap44/Spag6l/Drc7/Ttc21a/Wdr63/Spag16/Ccdc40"	10
"BP"	"GO:0060285"	"cilium-dependent cell motility"	"10/117"	"129/17062"	1.93197430080892e-08	6.35619544966134e-06	5.91116347475571e-06	"Dnah5/Dnah11/Cfap65/Cfap44/Spag6l/Drc7/Ttc21a/Wdr63/Spag16/Ccdc40"	10
"BP"	"GO:0030317"	"flagellated sperm motility"	"9/117"	"111/17062"	6.91440706238224e-08	1.94986279159179e-05	1.81334224312701e-05	"Dnah5/Dnah11/Cfap65/Cfap44/Spag6l/Drc7/Ttc21a/Spag16/Ccdc40"	9
"BP"	"GO:0097722"	"sperm motility"	"9/117"	"113/17062"	8.07643737306525e-08	1.99286092180385e-05	1.85332983929287e-05	"Dnah5/Dnah11/Cfap65/Cfap44/Spag6l/Drc7/Ttc21a/Spag16/Ccdc40"	9
"BP"	"GO:0007018"	"microtubule-based movement"	"14/117"	"373/17062"	2.67414926233988e-07	5.86530071539881e-05	5.45463896318217e-05	"Dnah5/Dnah11/Cfap65/Ak7/Cfap44/Spag6l/Rsph4a/Drc7/Ttc21a/Wdr63/Spag16/Dnah9/Ccdc40/Dnah6"	14
"BP"	"GO:0044782"	"cilium organization"	"13/117"	"331/17062"	4.40610368605202e-07	8.69764867626668e-05	8.08867876681549e-05	"Dnah5/Dcdc2a/Cfap65/Pkhd1/Foxj1/Ak7/Cfap44/Spag6l/Rsph4a/Ttc21a/Wdr63/Spag16/Ccdc40"	13
"BP"	"GO:0098742"	"cell-cell adhesion via plasma-membrane adhesion molecules"	"10/117"	"187/17062"	6.35923931989123e-07	0.000114119440158775	0.000106129314582682	"Cldn2/Epcam/Cdh16/Ptprd/Pcdh12/Cdh1/Pecam1/Igfn1/Igsf11/Sparcl1"	10
"BP"	"GO:0060271"	"cilium assembly"	"12/117"	"299/17062"	1.00085437568431e-06	0.000164640544800069	0.000153113160631003	"Dnah5/Dcdc2a/Cfap65/Pkhd1/Foxj1/Ak7/Cfap44/Spag6l/Rsph4a/Wdr63/Spag16/Ccdc40"	12
"BP"	"GO:0007288"	"sperm axoneme assembly"	"4/117"	"21/17062"	1.14859755765012e-05	0.00174410121446256	0.00162198715833344	"Cfap65/Cfap44/Spag6l/Spag16"	4
