"term_id"	"source"	"p_value"	"term_size"	"intersection_size"	"term_name"	"intersection"
"GO:0065007"	"GO:BP"	1.43472691784379e-09	10242	110	"biological regulation"	"Ramp2,Stat6,Mup19,Acvr1b,Slc5a7,Dazl,Mest,Serpine1,Trp53inp2,Zfp423,Pth1r,Plekha1,Esm1,Hsd11b1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Mpp7,Cp,Anxa6,Akap12,Mug1,Mapk8ip1,Apoc4,Dock10,S100b,Irak2,Mapre1,Nfe2l3,Fabp1,Synpo2,Tdrd7,Slc2a5,Mr1,Apob,Gata6,Arhgef6,Pdk1,Ffar2,Adam33,Ddo,Prkar2b,Cd274,Slc35b4,Pbx1,Cdc25c,Rhbdf1,Gsk3b,Dmxl2,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Lhfpl2,Cps1,Mcam,Mtss1l,Pzp,Scand1,Fgb,Rorc,Mycbp2,Akr1c14,Rnf19a,Serpina1e,Trf,Ambp,Rgs7bp,Map2k3,Zfp207,Eml2,Pgrmc1,Pkp1,Gaa,Ccl24,Ptprq,Hnrnpa0,Tex11,Igf2bp1,Arhgap31,Uba3,Rcor1,Ppp1r15a,Rcan2,Acacb,Plg,Gpx4,Strip2,F2,Polg2,Nfkbiz,Ttr,Vhl,Dclk1,Cdc42ep1,Dach1,Abcg5,Fmr1,Chchd10,F2r,Map4,Creg1,Adap2,Apoa2,Rnf112,Cbfb,Isoc2a"
"GO:0032501"	"GO:BP"	4.77773492890096e-08	6189	79	"multicellular organismal process"	"Ramp2,Stat6,Mup19,Acvr1b,Dazl,Serpine1,Trp53inp2,Zfp423,Pth1r,Plekha1,Esm1,Hsd11b1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Shroom4,Anxa6,Akap12,Mug1,Slc1a4,S100b,Fabp1,Tdrd7,Slc2a5,Mr1,Apob,Gata6,Ffar2,Adam33,Ddo,Prkar2b,Cd274,Pbx1,Cdc25c,Gsk3b,Fcor,Gcnt2,Kng1,Fgg,Lhfpl2,Gpd2,Cps1,Mcam,Pzp,Fgb,Rorc,Mycbp2,Akr1c14,Trf,Map2k3,Pgrmc1,Slco1b2,Gaa,Ccl24,Ptprq,Tex11,Igf2bp1,Rcor1,Rcan2,Acacb,Plg,Hmgcl,Gpx4,F2,Polg2,Nfkbiz,Vhl,Dclk1,Dach1,Abcg5,Fmr1,F2r,Map4,Adap2,Apoa2,Rnf112,Cbfb"
"GO:0008150"	"GO:BP"	8.33114117352396e-08	16263	138	"biological_process"	"Ramp2,Stat6,Emp1,Mup19,Acvr1b,Arhgef40,Slc5a7,Dazl,D430019H16Rik,Mest,Serpine1,Spsb1,Trp53inp2,Zfp423,Pth1r,Plekha1,Esm1,Hsd11b1,Slc36a1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Shroom4,Mpp7,Cp,Anxa6,Lrrc8c,Akap12,Mug1,Mapk8ip1,Slc1a4,Apoc4,Dock10,S100b,Irak2,Mapre1,Nfe2l3,Apol9a,Fabp1,Synpo2,Rbm28,Tdrd7,Suclg2,Slc2a5,H2-Q10,Mr1,Apob,Gata6,Arhgef6,Gsta4,Pdk1,Ffar2,Adam33,Ddo,Prkar2b,Cd274,Slc35b4,Pbx1,Cdc25c,Rhbdf1,Gsk3b,Dmxl2,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Lhfpl2,Gm9747,Gpd2,Cps1,Mcam,Mtss1l,Pzp,Scand1,Fgb,Rorc,Mycbp2,Akr1c14,Rnf19a,Serpina1e,Trf,Ambp,Rgs7bp,Map2k3,Zfp207,Eml2,Pgrmc1,Slco1b2,Pkp1,Mup7,Gaa,Ccl24,Ptprq,Hnrnpa0,Adamtsl5,Tex11,Igf2bp1,Bpifb6,Arhgap31,Mat1a,Uba3,Cpsf2,Rcor1,Ppp1r15a,Rcan2,Acacb,Plg,Hmgcl,Gpx4,Nxf2,Strip2,F2,Polg2,Nfkbiz,Ttr,Vhl,Dclk1,Cdc42ep1,Wdr26,Dach1,Abcg5,Gc,Fmr1,Chchd10,F2r,Map4,Als2cr12,Creg1,Adap2,Ces3a,Apoa2,Tusc5,Rnf112,Cbfb,Isoc2a"
"GO:0048519"	"GO:BP"	8.48699208922609e-08	4885	68	"negative regulation of biological process"	"Ramp2,Stat6,Mup19,Acvr1b,Dazl,Serpine1,Trp53inp2,Zfp423,Pth1r,Plekha1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Anxa6,Mug1,Mapk8ip1,S100b,Irak2,Mapre1,Nfe2l3,Fabp1,Gata6,Pdk1,Prkar2b,Cd274,Pbx1,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Pzp,Fgb,Rorc,Mycbp2,Serpina1e,Ambp,Rgs7bp,Map2k3,Zfp207,Eml2,Pgrmc1,Pkp1,Ptprq,Hnrnpa0,Tex11,Igf2bp1,Uba3,Rcor1,Ppp1r15a,Acacb,Plg,Gpx4,F2,Vhl,Dclk1,Dach1,Abcg5,Fmr1,F2r,Map4,Apoa2,Rnf112,Cbfb"
"GO:0065008"	"GO:BP"	1.01637401079368e-07	3540	56	"regulation of biological quality"	"Ramp2,Stat6,Mup19,Acvr1b,Slc5a7,Dazl,Mest,Serpine1,Trp53inp2,Zfp423,Pth1r,Plekha1,Cidea,Fga,Cp,Anxa6,Akap12,Apoc4,S100b,Slc2a5,Apob,Pdk1,Ffar2,Ddo,Gsk3b,Dmxl2,Fcor,Gcnt2,Kng1,Fgg,Cps1,Fgb,Akr1c14,Trf,Rgs7bp,Zfp207,Pgrmc1,Gaa,Ccl24,Hnrnpa0,Igf2bp1,Rcor1,Ppp1r15a,Acacb,Plg,Strip2,F2,Ttr,Vhl,Cdc42ep1,Abcg5,Fmr1,Chchd10,F2r,Apoa2,Isoc2a"
"GO:0048523"	"GO:BP"	4.45277674032823e-07	4468	63	"negative regulation of cellular process"	"Ramp2,Stat6,Mup19,Acvr1b,Dazl,Serpine1,Trp53inp2,Zfp423,Pth1r,Plekha1,Cidea,Rhbdd3,Fga,Ddit4,Anxa6,Mug1,Mapk8ip1,S100b,Mapre1,Nfe2l3,Fabp1,Gata6,Prkar2b,Cd274,Pbx1,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Pzp,Fgb,Rorc,Serpina1e,Ambp,Rgs7bp,Map2k3,Zfp207,Eml2,Pgrmc1,Pkp1,Ptprq,Hnrnpa0,Tex11,Igf2bp1,Uba3,Rcor1,Ppp1r15a,Acacb,Plg,Gpx4,F2,Vhl,Dclk1,Dach1,Fmr1,F2r,Map4,Apoa2,Rnf112,Cbfb"
"GO:0050789"	"GO:BP"	8.728594089397e-07	9684	101	"regulation of biological process"	"Ramp2,Stat6,Mup19,Acvr1b,Dazl,Mest,Serpine1,Trp53inp2,Zfp423,Pth1r,Plekha1,Esm1,Hsd11b1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Mpp7,Anxa6,Akap12,Mug1,Mapk8ip1,Apoc4,Dock10,S100b,Irak2,Mapre1,Nfe2l3,Fabp1,Synpo2,Tdrd7,Mr1,Apob,Gata6,Arhgef6,Pdk1,Ffar2,Adam33,Prkar2b,Cd274,Slc35b4,Pbx1,Cdc25c,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Lhfpl2,Mcam,Pzp,Scand1,Fgb,Rorc,Mycbp2,Rnf19a,Serpina1e,Trf,Ambp,Rgs7bp,Map2k3,Zfp207,Eml2,Pgrmc1,Pkp1,Gaa,Ccl24,Ptprq,Hnrnpa0,Tex11,Igf2bp1,Arhgap31,Uba3,Rcor1,Ppp1r15a,Rcan2,Acacb,Plg,Gpx4,Strip2,F2,Polg2,Nfkbiz,Ttr,Vhl,Dclk1,Cdc42ep1,Dach1,Abcg5,Fmr1,Chchd10,F2r,Map4,Creg1,Adap2,Apoa2,Rnf112,Cbfb"
"GO:0042730"	"GO:BP"	3.2822326531573e-06	19	6	"fibrinolysis"	"Serpine1,Fga,Fgg,Fgb,Plg,F2"
"GO:0071704"	"GO:BP"	4.37516937436663e-06	9613	99	"organic substance metabolic process"	"Ramp2,Stat6,Mup19,Acvr1b,Slc5a7,Dazl,Serpine1,Spsb1,Trp53inp2,Zfp423,Pth1r,Plekha1,Hsd11b1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Akap12,Mug1,Mapk8ip1,S100b,Irak2,Nfe2l3,Apol9a,Fabp1,Synpo2,Rbm28,Tdrd7,Suclg2,Mr1,Apob,Gata6,Gsta4,Pdk1,Ffar2,Adam33,Ddo,Prkar2b,Cd274,Slc35b4,Pbx1,Cdc25c,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Gpd2,Cps1,Pzp,Scand1,Fgb,Rorc,Mycbp2,Akr1c14,Rnf19a,Serpina1e,Trf,Ambp,Map2k3,Pgrmc1,Pkp1,Gaa,Ccl24,Ptprq,Hnrnpa0,Adamtsl5,Tex11,Igf2bp1,Mat1a,Uba3,Cpsf2,Rcor1,Ppp1r15a,Rcan2,Acacb,Plg,Hmgcl,Gpx4,Nxf2,F2,Polg2,Nfkbiz,Ttr,Vhl,Dclk1,Dach1,Gc,Fmr1,Chchd10,F2r,Creg1,Ces3a,Apoa2,Rnf112,Cbfb"
"GO:0080090"	"GO:BP"	5.46381539560743e-06	5229	67	"regulation of primary metabolic process"	"Stat6,Mup19,Acvr1b,Dazl,Serpine1,Trp53inp2,Zfp423,Pth1r,Hsd11b1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Akap12,Mug1,Mapk8ip1,S100b,Irak2,Nfe2l3,Fabp1,Synpo2,Apob,Gata6,Pdk1,Adam33,Prkar2b,Slc35b4,Pbx1,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Pzp,Scand1,Fgb,Rorc,Mycbp2,Rnf19a,Serpina1e,Trf,Ambp,Map2k3,Pkp1,Ccl24,Ptprq,Hnrnpa0,Igf2bp1,Uba3,Rcor1,Ppp1r15a,Rcan2,Acacb,F2,Polg2,Nfkbiz,Vhl,Dach1,Fmr1,Chchd10,F2r,Creg1,Apoa2,Cbfb"
