"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0000278","mitotic cell cycle",782,0.379294448946247,1.49560424145265,0.000130446125750065,0.000130446125750065,0.030535238587589,4409,"tags=16%, list=15%, signal=14%","Cenpf/Ska1/Nuf2/Cenpe/Sapcd2/Eme1/Tpx2/Pbk/Birc5/Sgo1/Stil/Kif23/Mki67/Cdk1/Ccna2/Clspn/Psrc1/Ccnb2/Kif11/Foxm1/Cep55/Kif18b/Kif2c/Ncapg/Ckap2/Top2a/Kif4/Kif14/Cdc25c/Kifc1/Stmn1/Ccnb1/Ncaph/Ndc80/Racgap1/Il1b/Cdc20/Bub1/Cit/Hnf4a/Cenpa/Kntc1/Insc/Plk1/Kif20a/E2f8/Kif20b/Spc25/Iqgap3/Cdca8/Knstrn/Lmnb1/Espl1/Cdca5/Ect2/Kif22/Cks2/Ube2c/Nek2/Nusap1/Aurkb/Mastl/Spdl1/Ska3/Ticrr/Ccna1/Ttk/Mybl2/Aurka/Epgn/Rad51/Mybl1/Ccnf/E2f7/Zwilch/Ddias/Tuba1a/Cdk5rap2/Mtbp/Smc2/Cdc7/Mir26a-1/Mad2l1/Ccne2/Cdc6/Kifc5b/Bub1b/Tal1/Cdc25b/Myb/Ank3/Incenp/Dynlt1b/Tacc3/Nsl1/Sphk1/Gen1/Ereg/Brca1/Fbxo5/Dscc1/Tcf19/Chek1/Dtl/Mcm3/Spag5/Gpsm2/Wee1/Ubd/Mcm6/Bora/Ezh2/Fbxl7/Tubb2b/Haspin/Rcc1/Misp/Ncapd2/Acvr1b/Lzts1/Lig1/E2f1/Reep4/Mcm4/Tuba1c/Smc4"
"MF","GO:0016491","oxidoreductase activity",729,0.375257423709246,1.47201099916534,0.00013238019592269,0.00013238019592269,0.030535238587589,1842,"tags=8%, list=6%, signal=8%","Uox/Cyp3a25/Cyp2d10/Cyp2c29/Akr1c6/Cyp2c50/Cyp4a12a/Gulo/Cyp2c54/Hsd3b3/Cyp3a11/Cyp2c67/Cyp2j5/Cyp4a12b/Hao1/Dmgdh/Hsd17b13/Hsd3b5/Cyp2d26/Rdh7/Cyp2d9/Cyp2c68/Doxl1/Tph2/Pah/Cyp1a2/Hsd17b6/Cyp2c37/Hgd/Iyd/Akr1c21/Svs1/Cyb5r2/Cyp2d34/Aldh8a1/Cyp2b9/Tyrp1/Akr1d1/Rrm2/Cyp3a13/Cyp2c70/Rdh16f2/Pipox/Cyp2a5/Mdh1b/Akr1b7/Hsd17b2/Cyp21a1/Cyp2a12/Tdo2/Ido2/Cyp4a14/Duox1/Cyp8b1/Aox4/Acoxl/P4ha3/Cyp2c23"
"BP","GO:0030162","regulation of proteolysis",649,0.385708190193174,1.50346438104046,0.000134535180949818,0.000134535180949818,0.030535238587589,3179,"tags=10%, list=11%, signal=9%","Kng1/Mug1/Rgn/Hrg/Ambp/Pzp/F2/Fabp1/Serpinf2/Serpind1/Serpina1c/Mug2/Ahsg/Tm4sf20/Itih1/Spink10/Itih3/Pbk/Serpina1e/Birc5/Serpine1/S100a9/Serpina1d/Itih2/Serpina11/Cpb2/Serpina5/Kcne2/Serpinb1b/Csta1/Nek5/Nodal/F12/Serpina10/Serpinc1/Il1b/Plk1/Serpina16/Fetub/Serpina1b/Serpina3i/Ret/Aurka/S100a8/Serpina3a/Serpina1a/Wfdc3/Ccn2/Serpina6/Il1r2/Acp4/Timp1/Fcmr/Ctla2a/Epha4/Cideb/Smad7/F2r/Prkcg/P2rx1/Pbp2/Birc7/Cd44/Tnfsf15/Cntn2"
"BP","GO:1903047","mitotic cell cycle process",633,0.440192437277375,1.71224446955249,0.000135703623286742,0.000135703623286742,0.030535238587589,4409,"tags=18%, list=15%, signal=16%","Cenpf/Nuf2/Cenpe/Sapcd2/Eme1/Tpx2/Birc5/Sgo1/Stil/Kif23/Mki67/Cdk1/Ccna2/Clspn/Psrc1/Ccnb2/Kif11/Foxm1/Cep55/Kif18b/Kif2c/Ncapg/Ckap2/Top2a/Kif4/Kif14/Cdc25c/Kifc1/Stmn1/Ccnb1/Ncaph/Ndc80/Racgap1/Il1b/Cdc20/Bub1/Cit/Cenpa/Kntc1/Insc/Plk1/Kif20a/Kif20b/Spc25/Iqgap3/Cdca8/Knstrn/Lmnb1/Espl1/Cdca5/Ect2/Kif22/Cks2/Ube2c/Nek2/Nusap1/Aurkb/Mastl/Spdl1/Ticrr/Ccna1/Ttk/Mybl2/Aurka/Epgn/Rad51/Ccnf/E2f7/Zwilch/Cdk5rap2/Mtbp/Smc2/Cdc7/Mir26a-1/Mad2l1/Ccne2/Cdc6/Kifc5b/Bub1b/Cdc25b/Myb/Ank3/Incenp/Dynlt1b/Tacc3/Nsl1/Sphk1/Gen1/Ereg/Brca1/Fbxo5/Dscc1/Tcf19/Chek1/Dtl/Mcm3/Spag5/Gpsm2/Wee1/Ubd/Mcm6/Bora/Ezh2/Fbxl7/Haspin/Rcc1/Misp/Ncapd2/Acvr1b/Lzts1/Lig1/E2f1/Reep4/Mcm4/Smc4"
"BP","GO:0051301","cell division",561,0.465515565795834,1.79562975535278,0.000138007176373171,0.000138007176373171,0.030535238587589,4409,"tags=19%, list=15%, signal=17%","Thbs4/Ska1/Nuf2/Cenpe/Sapcd2/Cuzd1/Tpx2/Birc5/Sgo1/Kif23/Cdk1/Ccna2/Aspm/Psrc1/Prc1/Ccnb2/Kif11/Htr2b/Cep55/Pimreg/Kif18b/Knl1/Kif2c/Ckap2/Top2a/Kif4/Kif14/Cdc25c/Stmn1/Fam83d/Ccnb1/Ncaph/Mis18bp1/Ndc80/Racgap1/Il1b/Cdc20/Bub1/Cit/Cenpa/Kntc1/Insc/Plk1/Sgo2a/Cdca3/Kif20a/E2f8/Kif20b/Spc25/Cdca8/Knstrn/Cdca5/Ect2/Cks2/Fgf13/Ube2c/Nek2/Nusap1/Aurkb/Mastl/Spdl1/Ska3/Ccna1/Aurka/Ccnf/E2f7/Zwilch/Wnt9b/Cdca2/Smc2/Cdc7/Mad2l1/Ccne2/Cdc6/Bub1b/Tal1/Nedd9/Pgf/Cdc25b/Brip1/Mpl/Myb/Ank3/Incenp/Tacc3/Nsl1/Nap1l2/Ereg/Fbxo5/Ncapg2/Cxcr5/Spag5/Gpsm2/Wee1/Sept9/Oip5/Bora/Fbxl7/Rcc1/Misp/Ncapd2/Kit/Ercc6l/Lig1/Spc24/Reep4/Sox17/Smc4"
"BP","GO:0000226","microtubule cytoskeleton organization",558,0.395348662310703,1.52430095000971,0.000138350857775318,0.000138350857775318,0.030535238587589,4622,"tags=18%, list=16%, signal=15%","Ska1/Nuf2/Cenpe/Sapcd2/Tpx2/Birc5/Sgo1/Dnah8/Stil/Kif23/Aspm/Psrc1/Prc1/Kif11/Kif18b/Kif2c/Nefl/Ckap2/Rsph4a/Kif4/Zmynd10/Rp1/Kifc1/Stmn1/Pclaf/Ccnb1/Ndc80/Racgap1/Cdc20/Cenpa/Insc/Plk1/Kif20a/Dnah5/Spc25/Knstrn/Espl1/Pla2g3/Fgf13/Nek2/Aunip/4933427D14Rik/Nusap1/Gas2l2/Aurkb/Spdl1/Ska3/Hydin/Armc4/Mybl2/Crmp1/Fignl1/Aurka/Dnali1/Ccdc65/Dclk2/Ccnf/Ccdc151/Lrrc6/Tuba1a/Slc39a12/Cdk5rap2/Mad2l1/Kifc5b/Ccdc40/Cdh5/Cntn2/Dynlt1b/Tacc3/Gen1/Mapk15/Brca1/Fbxo5/Chek1/Spag16/Ccdc39/Gas2l3/Spag5/Gpsm2/Bmerb1/Ccdc120/Wee1/Cep295nl/Disc1/Dysf/Bora/Ccdc13/Tubb2b/Rcc1/Epha3/Misp/Map2/Tuba1c/Ccp110/Tubb6/Fes/Dnaic1/Kif18a"
"BP","GO:0032787","monocarboxylic acid metabolic process",535,0.428644757444358,1.64740145175775,0.000139120756816917,0.000139120756816917,0.030535238587589,1563,"tags=9%, list=5%, signal=9%","Rgn/Aldob/Cyp2d10/Cyp2c29/Akr1c6/Apoa4/Cyp2c50/Slc27a2/Cyp2c54/Fabp1/Apoa2/Ugt2b1/Cyp2c67/Hao1/Cyp2d26/Lipc/Cyp2d9/Cyp2c68/Fbp1/Ugt2a3/Agxt/Acsm1/Cyp1a2/Pklr/Kynu/Cyp2c37/Elovl2/Htr2a/Ugt1a9/Cyp2d34/Aldh8a1/Ugt1a2/Cyp2b9/Elovl3/Fabp2/Acnat2/Ddit4/Tyrp1/Hnf1a/Gad1/Akr1d1/Il1b/Hnf4a/Cyp3a13/Cyp2c70/Apoa5/Cyp2a5/Erfe/Cyp2a12/Pla2g3"
"MF","GO:0048037","cofactor binding",505,0.43371179781649,1.66001913996356,0.000140666760444507,0.000140666760444507,0.030535238587589,1842,"tags=10%, list=6%, signal=9%","Ambp/Cyp3a25/Cyp2d10/Cyp2c29/Cyp2c50/Cyp4a12a/Gulo/Cyp2c54/Cyp3a11/Cyp2c67/Cyp2j5/Hao1/Dmgdh/Cyp2d26/Cyp2d9/Cyp2c68/Hpx/Agxt/Pah/Cyp1a2/Kynu/Cyp2c37/Birc5/Iyd/Akr1c21/Cyb5r2/Gnmt/Cyp2d34/Cyp4f15/Cyp2b9/Gad1/Hnf4a/Cyp3a13/Cyp2c70/Aadat/Cyp2a5/Alb/Gadl1/Cyp21a1/Cyp2a12/Tyms/Tdo2/Ido2/Cyp4a14/Cyp8b1/Aox4/Acoxl/P4ha3/Cyp2c23"
"BP","GO:0017144","drug metabolic process",490,0.459266431216995,1.75455239752076,0.000141043723554302,0.000141043723554302,0.030535238587589,4455,"tags=17%, list=15%, signal=15%","Mat1a/Rgn/Cyp2d10/Cyp2c29/Akr1c6/Cps1/Apoa4/Cyp2c50/Cyp2c54/Ugt2b1/Cyp2c67/Cyp2j5/Bhmt/Hao1/Cyp2d26/Cyp2d9/Cyp2c68/Agxt/Pah/Cyp1a2/Pklr/Kynu/Cyp2c37/Slc5a7/Hgd/Dpys/Gnmt/Cyp2d34/Aldh8a1/Cyp2b9/Drd4/Pla2g5/Tyrp1/Crp/Ulbp1/Tacr3/Il1b/Glyat/Cyp2c70/Pipox/Cyp2a5/Cyp21a1/Cyp2a12/Duox1/Gpr37/Cyp2c23/Raet1a/Nr1i2/Duoxa1/Slc27a5/Chil5/Ass1/Cyp2c40/Ddah1/Cyp11a1/Cyp2b10/Cpn1/Nos2/Moxd1/Hmgcll1/Tomt/Pcbd1/Bhmt2/Sncb/Hba-a1/Akr1c14/Cyp17a1/Cubn/Abcc2/Sncaip/Rdh16/Ugt1a1/Dhfr/Hpd/Ache/Lpcat2/Hbb-b1/Akr1c20/Icam1/Hbq1a/Hbb-bt/Tat/Ak9/Bmp5"
"CC","GO:0031012","extracellular matrix",429,0.46807839699546,1.76933497004004,0.000143760782058654,0.000143760782058654,0.030535238587589,4806,"tags=22%, list=17%, signal=19%","Krt1/Fga/Kng1/Hrg/Ambp/Pzp/Fgg/Plg/Fgb/Dmbt1/F2/Serpinf2/Fcgbp/Ahsg/Thbs4/Mbl2/Lad1/Hapln1/Itih1/Itih3/Col11a1/Mmp7/Serpine1/Adamts17/Cpn2/Itih2/Rell2/Hapln4/Adamts8/Emilin3/Reln/Serpinc1/Cthrc1/Tgm3/Alb/Frem2/Ncan/Col9a3/Postn/Col10a1/Col12a1/Ihh/Lingo1/Col8a1/Fbn2/Tnc/Ccn2/Timp1/Col6a2/Col6a3/Adamts4/Ndnf/Wnt6/Col11a2/Emilin1/Col6a1/Vcan/Prelp/Ccn6/Alpl/Olfml2a/Impg2/Gpc6/Clec14a/Fbn1/Bgn/Nav2/Vwf/Eln/Mfap4/Tgm4/Lrrc15/Loxl2/Mmp17/Papln/Mmrn1/Dmp1/Zg16/Ache/Lox/Tectb/Aspn/Muc4/Coch/Lrrc32/Col4a2/Tinag/Mmrn2/Serpinf1/Serpina3k/Reg2/S100a3/Col22a1/Col28a1/Wnt4/Gpc1"
