"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0006582","melanin metabolic process",23,-0.886966390008304,-2.25944329924645,0.000226603217765692,0.000226603217765692,0.27041261010663,1523,"tags=39%, list=5%, signal=37%","Oca2/Tyr/Cited1/Dct/Slc24a5/Slc45a2/Pmel/Tyrp1/Mc1r"
"BP","GO:0042438","melanin biosynthetic process",21,-0.890046722785702,-2.2129892550087,0.00022691173133651,0.00022691173133651,0.27041261010663,1523,"tags=43%, list=5%, signal=41%","Oca2/Tyr/Cited1/Dct/Slc24a5/Slc45a2/Pmel/Tyrp1/Mc1r"
"BP","GO:0044550","secondary metabolite biosynthetic process",27,-0.858625363629202,-2.25404837438919,0.000228362639872117,0.000228362639872117,0.27041261010663,1523,"tags=33%, list=5%, signal=32%","Oca2/Tyr/Cited1/Dct/Slc24a5/Slc45a2/Pmel/Tyrp1/Mc1r"
"BP","GO:0042440","pigment metabolic process",64,-0.663295820457028,-2.05546125869388,0.000239635753654445,0.000239635753654445,0.27041261010663,1523,"tags=17%, list=5%, signal=16%","Sox2/Oca2/Tyr/Cyp2a5/Cited1/Dct/Slc24a5/Slc45a2/Pmel/Tyrp1/Mc1r"
"BP","GO:0019748","secondary metabolic process",63,-0.689796209058076,-2.13284691338892,0.000240096038415366,0.000240096038415366,0.27041261010663,1523,"tags=16%, list=5%, signal=15%","Oca2/Tyr/Cyp2a5/Cited1/Dct/Slc24a5/Slc45a2/Pmel/Tyrp1/Mc1r"
"MF","GO:0004867","serine-type endopeptidase inhibitor activity",96,-0.586670952288611,-1.93363452021235,0.000246062992125984,0.000246062992125984,0.27041261010663,2617,"tags=23%, list=9%, signal=21%","Spink12/Serpina3f/Wfikkn1/Serpina1e/Serpinb6c/Serpinb6e/Serpina3a/Serpina12/Pbp2/Wfdc6b/Pcsk1n/Eppin/Wfdc8/Spink10/Serpinb7/Spink5/Serpina16/Spink8/Spint3/Wfdc13/Serpina1f/Spink11"
"BP","GO:0043473","pigmentation",96,-0.587439710032086,-1.93616830257308,0.000246062992125984,0.000246062992125984,0.27041261010663,3234,"tags=27%, list=11%, signal=24%","Adamts9/Lyst/Hps1/Mlph/Atrn/Rab38/Kit/Ihh/Rab27a/Lef1/Gpr143/Edar/Edn3/Rab17/Oca2/En1/Tyr/Cited1/Dct/Sox10/Slc24a5/Slc45a2/Pmel/Pax3/Tyrp1/Mc1r"
"CC","GO:0045111","intermediate filament cytoskeleton",114,-0.57384589423812,-1.93724397346017,0.00025,0.00025,0.27041261010663,2401,"tags=11%, list=8%, signal=11%","Krt14/Krt32/Krt77/Padi6/Dsp/Krt20/Slc1a6/Krt6a/Ndor1/Krt15/Krt17/Krt1/Krt5"
"CC","GO:0015934","large ribosomal subunit",118,-0.518315592975885,-1.75738962972666,0.000250941028858218,0.000250941028858218,0.27041261010663,11365,"tags=71%, list=39%, signal=43%","Mrpl46/Rpl7/Rpl38/Rpl8/Mrpl10/Rps12/Mrpl48/Rpl17/Rpl39/Rpl28/Rpl24/Mrpl39/Mrpl1/Mrpl11/Mrpl9/Rpl18/Rpl13a/Rpl27a/Rpl21/Rpl26/Rpl29/Rpl10a/Rpl19/Rpl9/Mrpl17/Mrpl54/Mrpl57/Rpl7l1/Mrpl40/Rpl4/Rpl3/Mrps18a/Mrpl16/Mrpl37/Rpl27/Mpv17l2/Rpl32/Rpl23a/Rpl30/Rpl14/Rplp2/Rpl7a/Mrpl2/Rpl35/Mrpl4/Mrpl43/Rpl23/Rsl24d1/Rpl6/Mrpl18/Mrpl41/Rpl11/Mrpl51/Mrpl58/Npm1/Rpl15/Mrpl49/Mrpl42/Rpl13/Malsu1/Ndufab1/Rbm3/Mrpl30/Rpl5/Mrpl53/Mrps30/Mrpl55/Mrpl21/Mrpl47/Zcchc17/Mrpl20/Mrpl15/Mrpl12/Rpl31/Surf6/Mrpl50/Mrpl3/Rpl22l1/Mrpl32/Mief1/Mrpl19/Rpl10l/Rpl3l/Rpl39l"
"MF","GO:0003735","structural constituent of ribosome",148,-0.507677795757028,-1.77392308411192,0.00025419420437214,0.00025419420437214,0.27041261010663,11995,"tags=79%, list=41%, signal=47%","Mrps6/Mrpl33/Mrpl22/Rpl36/Rpl22/Rps19/Rps27/Mrpl14/Mrpl13/Mrps31/Ndufa7/Mrpl35/Mrps12/Rps13/Mrpl46/Rps8/Rpl7/Rpl38/Rpl8/Rps24/Mrpl10/Rps12/Rps20/Rps4x/Rpl17/Rpl39/Rpl28/Rpl24/Mrpl39/Mrpl1/Rpsa/Rps16/Mrpl11/Mrpl9/Rps2/Rps11/Rps3/Rpl18/Rpl13a/Rpl27a/Rpl21/Rps21/Rpl26/Rpl29/Mrps2/Rpl10a/Rps27a/Mrps5/Rpl19/Rps18/Rpl9/Mrpl17/Mrpl54/Mrpl57/Rps23/Rpl7l1/Fau/Rpl4/Rpl3/Mrps18a/Mrpl16/Mrpl37/Rpl27/Rpl32/Rpl23a/Rpl30/Rpl14/Rplp2/Rps25/Mrps11/Mrps25/Rps29/Mrpl2/Rpl35/Mrpl4/Mrpl43/Mrps7/Rpl23/Rsl24d1/Rps7/Rpl6/Mrpl18/Mrpl41/Rpl11/Mrpl51/Rps6/Mrps34/Mrps17/Rpl15/Mrpl49/Rps26/Rps15a/Rpl13/Mrps15/Mrpl30/Mrps18b/Rpl5/Mrps30/Mrpl55/Mrpl21/Mrpl47/Mrpl20/Mrpl15/Mrps10/Mrps16/Mrpl12/Rpl31/Mrps18c/Mrps35/Mrps22/Mrpl3/Mrps14/Rpl22l1/Mrpl32/Mrpl19/Rpl10l/Rpl3l"
