"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0098542","defense response to other organism",777,-0.372646762499816,-1.48333140705126,0.000191277735271614,0.000191277735271614,0.0365417360194379,2872,"tags=10%, list=10%, signal=10%","Nos2/Ccl7/Lep/Stx11/Ccl20/Itgax/Il1f5/Rab27a/Nlrp6/Klrd1/Tgtp1/Trim38/Tlr8/Tnfsf8/Treml4/Ccl21b/Mefv/Hc/Il1b/Raet1e/Chga/S100a8/Otop1/H60c/Trim10/Il27/Hmgb4/Il10/Havcr2/Cxcl1/Hamp2/Ltf/Raet1a/Defb2/Bpifb3/Ccl2/Pla2g2f/Ifi208/Ccl22/Ddit4/Kynu/Krt6a/Defb39/Cd4/Mbl1/Arg2/Crp/Tlr12/Sh2d1a/Serpine1/Ppp1r14bl/H60b/Klk7/Fpr2/Hpx/Spink5/Defb12/Defb42/Hamp/C4bp/Mbl2/Cfi/Defb11/AY761185/Spag11a/Apoa4/Defb43/Fgg/Defb37/Muc5b/C8a/C8b/Wfdc15b/F2/Fgb/C9/Hrg/Defb30/Fga/Defb22/Krt1"
"BP","GO:0030162","regulation of proteolysis",649,-0.415938942746822,-1.63812734844809,0.000191570881226054,0.000191570881226054,0.0365417360194379,2817,"tags=10%, list=10%, signal=9%","Lef1/Serpina1b/Kng2/Serpina1a/Fmr1/Epha7/Fetub/Ccn2/Capn3/Mefv/Serpinb6e/Serpina3f/Cntn2/Il1b/S100a8/Serpinb6c/Wnt10b/Serpinc1/Il10/Fasl/Ret/Tnp2/Serpina11/Pbk/Ltf/Serpina5/Rag1/Birc5/Eppin/E330034G19Rik/Serpina10/Fgfr4/Spink8/Pcsk1n/F12/Serpine1/Pbp2/Cpb2/Serpina3a/Serpinf2/Serpina1d/Spink5/Serpinb7/Itih3/Ahsg/Wfdc8/Itih1/Cdh1/Stfa1/Serpina1e/Fabp1/Serpina1c/Mug2/F2/Ambp/Serpind1/Pzp/Serpina16/Kng1/Rgn/Hrg/Mug1/Wfdc13/Spink10/Serpina1f/Spink11"
"BP","GO:0043086","negative regulation of catalytic activity",625,-0.371776088293385,-1.45986411344804,0.000193199381761978,0.000193199381761978,0.0365417360194379,3088,"tags=11%, list=11%, signal=10%","Gpr87/Serpinb1c/Mastl/Cdkn1a/Lef1/Gzma/Efcab1/Serpina1b/Kng2/Serpina1a/Fetub/Akap6/Serpinb6e/Pif1/Serpina3f/Il1b/Map2/Serpinb6c/Knl1/Serpinc1/Pkib/Serpina11/Ltf/Serpina5/Rag1/Birc5/Gckr/Gfi1/Eppin/Il13/Serpina10/Cblc/1300017J02Rik/Arg2/Spink8/Pcsk1n/Serpine1/Pbp2/Serpina3a/Serpinf2/Serpina1d/Spink5/Serpinb7/Itih3/Apoa2/Ahsg/Wfdc8/Itih1/Apoa1/Stfa1/Serpina1e/Fabp1/Serpina1c/Mug2/Ambp/Serpind1/Pzp/Serpina16/Kng1/Rgn/Hrg/Mug1/Wfdc13/Spink10/Serpina1f/Spink11"
"BP","GO:0017144","drug metabolic process",490,-0.403152796311569,-1.55450389944513,0.000193535900909619,0.000193535900909619,0.0365417360194379,2872,"tags=12%, list=10%, signal=11%","Nos2/Mt3/Ass1/Ache/Tomt/Dpys/Duoxa1/Ido1/Il1b/Cpn1/Duox1/Cyp2c70/Il10/Cyp2j11/Cyp2b9/Raet1a/Baat/Cyp2d26/Fshr/Pklr/Glyat/Moxd1/Duoxa2/Cyp11a1/Cubn/Gpr37/Kynu/Cyp2a12/Allc/Cyp2j13/Gnmt/Crp/Pah/Cyp2d9/Pla2g5/Hgd/Aldh8a1/Hmgcll1/Slc5a7/Sult1b1/Cyp1a2/Cyp2c54/Cyp2a5/Agxt/Hao1/Cyp2c67/Bhmt/Cyp2j5/Apoa4/Ugt2b1/Cyp2c29/Cps1/Cyp2d10/Akr1c6/Cyp2c50/Rgn/Mat1a/Tyrp1"
"BP","GO:0032787","monocarboxylic acid metabolic process",535,-0.390226860729432,-1.5144557948287,0.000195350654424692,0.000195350654424692,0.0365417360194379,2636,"tags=11%, list=9%, signal=10%","Elovl4/Acot5/Sphk1/Ido1/Alox8/Kit/Il1b/Prox1/Cyp2c70/Lipc/Ugt2a3/Cyp2b9/Acsl6/Ugt1a2/Malrd1/Baat/Cyp2d26/Acoxl/Pklr/Ghsr/Aldoart2/Ddit4/Akr1d1/Htr2a/Kynu/Cyp2a12/Apoa5/Elovl2/Hnf4a/Fgfr4/Cyp2d9/Elovl3/Ptgds/Fbp1/Aldh8a1/Erfe/Apoa2/Cyp1a2/Fabp2/Acsm1/Cyp2c54/Cyp2a5/Agxt/Fabp1/Hao1/Cyp2c67/Apoa4/Ugt2b1/Cyp2c29/Ugt1a5/Cyp2d10/Aldob/Akr1c6/Slc27a2/Cyp2c50/Rgn/Lcn5/Tyrp1"
"BP","GO:0050878","regulation of body fluid levels",294,-0.477949220074717,-1.76838196842134,0.00019546520719312,0.00019546520719312,0.0365417360194379,3158,"tags=17%, list=11%, signal=15%","Atp6v1b1/Atp2b2/Erbb4/Csn3/Agr2/Rab27a/Nlrp6/Kng2/Stmn1/Atp7b/Wnk3/F11/Mmrn1/Serpinc1/Tac4/Nppb/Gata1/F13b/Flg/Adamts18/Hrnr/Gp1bb/Mpig6b/Guca2b/Avpr2/Serpina10/Aqp3/Hnf4a/F12/Serpine1/Prl2c3/Cpb2/Sct/Serpinf2/Apoh/Proc/F9/Cdh1/Fgg/F2/Fgb/Plg/Serpind1/Tfap2b/C9/Kng1/Hrg/Fga/Krt1"
"BP","GO:0043046","DNA methylation involved in gamete generation",19,0.846909989148872,2.0303764843206,0.000195503421309873,0.000195503421309873,0.0365417360194379,2621,"tags=63%, list=9%, signal=57%","Mov10l1/Tdrd1/Fkbp6/Piwil4/Mael/Asz1/Ddx4/Tdrd5/Morc1/Tdrd9/Tdrd12/Piwil2"
"CC","GO:0043186","P granule",19,0.868477639701435,2.08208262908809,0.000195503421309873,0.000195503421309873,0.0365417360194379,324,"tags=42%, list=1%, signal=42%","Mov10l1/Tdrd1/Piwil4/Mael/Asz1/D1Pas1/Ddx4/Tdrd5"
"CC","GO:0045495","pole plasm",19,0.868477639701435,2.08208262908809,0.000195503421309873,0.000195503421309873,0.0365417360194379,324,"tags=42%, list=1%, signal=42%","Mov10l1/Tdrd1/Piwil4/Mael/Asz1/D1Pas1/Ddx4/Tdrd5"
"CC","GO:0060293","germ plasm",19,0.868477639701435,2.08208262908809,0.000195503421309873,0.000195503421309873,0.0365417360194379,324,"tags=42%, list=1%, signal=42%","Mov10l1/Tdrd1/Piwil4/Mael/Asz1/D1Pas1/Ddx4/Tdrd5"
"BP","GO:0006520","cellular amino acid metabolic process",243,-0.488329250658582,-1.77212643447947,0.00019669551534225,0.00019669551534225,0.0365417360194379,3295,"tags=13%, list=11%, signal=12%","Gad2/Pipox/Ddah1/Tdh/Nos2/Ass1/Bcat1/Dpys/Ido1/Baat/Glyat/Ftcd/Dct/Kynu/Arg2/Hnf4a/Gnmt/Ido2/Pah/Iyd/Amdhd1/Hgd/Tph2/Hmgcll1/Agmat/Agxt/Bhmt/Cps1/Uroc1/Otc/Mat1a/Tyrp1"
"BP","GO:0052547","regulation of peptidase activity",373,-0.473244687295347,-1.78131208252228,0.000197083169097359,0.000197083169097359,0.0365417360194379,2817,"tags=14%, list=10%, signal=13%","Lef1/Serpina1b/Kng2/Serpina1a/Epha7/Fetub/Ccn2/Mefv/Serpinb6e/Serpina3f/S100a8/Serpinb6c/Serpinc1/Fasl/Ret/Serpina11/Ltf/Serpina5/Rag1/Birc5/Eppin/Serpina10/Spink8/Pcsk1n/Serpine1/Pbp2/Serpina3a/Serpinf2/Serpina1d/Spink5/Serpinb7/Itih3/Ahsg/Wfdc8/Itih1/Cdh1/Stfa1/Serpina1e/Fabp1/Serpina1c/Mug2/Ambp/Serpind1/Pzp/Serpina16/Kng1/Hrg/Mug1/Wfdc13/Spink10/Serpina1f/Spink11"
