"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0140014","mitotic nuclear division","41/688","254/20761",3.48020287267077e-17,9.65099301481888e-14,7.90897343496284e-14,"Pdgfb/Ube2c/Rab11a/Cdc20/Kif11/Ncapg/Birc5/Esr1/Fbxo5/Mtbp/Racgap1/Sgo1/Ndc80/Nek2/Nuf2/Nusap1/Knstrn/Bub1/Tpx2/Aurka/Smc2/Kif2c/Cdca8/Rcc1/Cit/Mad2l1/Kif22/Plk1/Mki67/Kif23/Kif4/Ncaph/Tacc3/Cdk5rap2/Ccnb1/Cenpe/Kif18b/Espl1/Rrs1/Psrc1/Kifc1",41
"BP","GO:0000070","mitotic sister chromatid segregation","31/688","142/20761",4.04823532500792e-17,9.65099301481888e-14,7.90897343496284e-14,"Rab11a/Cdc20/Ncapg/Birc5/Fbxo5/Racgap1/Sgo1/Ndc80/Nek2/Nuf2/Nusap1/Knstrn/Bub1/Smc2/Kif2c/Cdca8/Cit/Mad2l1/Kif22/Plk1/Kif23/Kif4/Ncaph/Tacc3/Cdk5rap2/Ccnb1/Cenpe/Kif18b/Espl1/Rrs1/Psrc1",31
"BP","GO:0000819","sister chromatid segregation","33/688","176/20761",4.76972509578011e-16,7.58068308555986e-13,6.21235773878449e-13,"Rab11a/Cdc20/Ncapg/Birc5/Fbxo5/Top2a/Racgap1/Sgo1/Ndc80/Sgo2a/Nek2/Nuf2/Nusap1/Knstrn/Bub1/Smc2/Kif2c/Cdca8/Cit/Mad2l1/Kif22/Plk1/Kif23/Kif4/Ncaph/Tacc3/Cdk5rap2/Ccnb1/Cenpe/Kif18b/Espl1/Rrs1/Psrc1",33
"BP","GO:0098813","nuclear chromosome segregation","39/688","254/20761",1.17783917100267e-15,1.18442599657087e-12,9.70635221492204e-13,"Rab11a/Cdc20/Ncapg/Birc5/Fbxo5/Top2a/Racgap1/Sgo1/Ndc80/Sgo2a/Cenpf/Nek2/Nuf2/Nusap1/Knl1/Knstrn/Bub1/Fam83d/Ect2/Ccne2/Smc2/Kif2c/Cdca8/Cit/Mad2l1/Kif22/Plk1/Kif23/Kif4/Ncaph/Tacc3/Eme1/Cdk5rap2/Ccnb1/Cenpe/Kif18b/Espl1/Rrs1/Psrc1",39
"BP","GO:0048285","organelle fission","53/688","452/20761",1.24205746284697e-15,1.18442599657087e-12,9.70635221492204e-13,"Pdgfb/Ube2c/Rab11a/Cdc20/Dazl/Kif11/Ncapg/Birc5/Esr1/Fbxo5/Dcn/Top2a/Mtbp/Mief1/Racgap1/Sgo1/Ndc80/Sgo2a/Nek2/Nuf2/Nusap1/Cdc25b/Knstrn/Bub1/Tpx2/Aurka/Ccne2/Smc2/Kif2c/Cdca8/Rcc1/Ppargc1a/Cit/Mad2l1/Kif22/Plk1/Mki67/Kif23/Aspm/Kif4/Ncaph/Tacc3/Inf2/Eme1/Cdk5rap2/Ccnb1/Cenpe/Kif18b/Espl1/Rrs1/Cks2/Psrc1/Kifc1",53
"BP","GO:0000280","nuclear division","49/688","405/20761",4.49440312699576e-15,3.57155235158596e-12,2.9268814749839e-12,"Pdgfb/Ube2c/Rab11a/Cdc20/Dazl/Kif11/Ncapg/Birc5/Esr1/Fbxo5/Top2a/Mtbp/Racgap1/Sgo1/Ndc80/Sgo2a/Nek2/Nuf2/Nusap1/Cdc25b/Knstrn/Bub1/Tpx2/Aurka/Ccne2/Smc2/Kif2c/Cdca8/Rcc1/Cit/Mad2l1/Kif22/Plk1/Mki67/Kif23/Aspm/Kif4/Ncaph/Tacc3/Eme1/Cdk5rap2/Ccnb1/Cenpe/Kif18b/Espl1/Rrs1/Cks2/Psrc1/Kifc1",49
"BP","GO:0007059","chromosome segregation","42/688","313/20761",1.19596460107997e-14,8.14622745421328e-12,6.67582044993812e-12,"Rab11a/Cdc20/Ncapg/Birc5/Fbxo5/Top2a/Racgap1/Sgo1/Ndc80/Sgo2a/Cenpf/Nek2/Nuf2/Nusap1/Knl1/Knstrn/Bub1/Fam83d/Ect2/Ccne2/Smc2/Kif2c/Cdca8/Rcc1/Cit/Mad2l1/Kif22/Plk1/Mki67/Kif23/Kif4/Ncaph/Tacc3/Eme1/Cdk5rap2/Ccnb1/A730008H23Rik/Cenpe/Kif18b/Espl1/Rrs1/Psrc1",42
"BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis","27/688","133/20761",2.95515117012666e-14,1.76127009739549e-11,1.4433580451987e-11,"Rab11a/Cdc20/Kif11/Birc5/Plk2/Racgap1/Ndc80/Nek2/Nuf2/Sapcd2/Nusap1/Tpx2/Aurka/Stil/Stmn1/Rcc1/Cenpa/Mad2l1/Plk1/Kif23/Kif4/Tacc3/Cdk5rap2/Ccnb1/Cenpe/Psrc1/Kifc1",27
"BP","GO:0007051","spindle organization","28/688","165/20761",1.0657123866159e-12,5.64590739931624e-10,4.62681213931956e-10,"Rab11a/Cdc20/Kif11/Birc5/Fbxo5/Plk2/Myh9/Racgap1/Ndc80/Nek2/Nuf2/Tubgcp4/Knstrn/Tpx2/Aurka/Stil/Stmn1/Rcc1/Plk1/Kif23/Aspm/Kif4/Tacc3/Ccnb1/Cenpe/Espl1/Psrc1/Kifc1",28
"BP","GO:0007052","mitotic spindle organization","22/688","105/20761",3.70107551765882e-12,1.76467280681973e-09,1.44614656016311e-09,"Rab11a/Cdc20/Kif11/Birc5/Plk2/Racgap1/Ndc80/Nek2/Nuf2/Tpx2/Aurka/Stil/Stmn1/Rcc1/Plk1/Kif23/Kif4/Tacc3/Ccnb1/Cenpe/Psrc1/Kifc1",22
"BP","GO:0008608","attachment of spindle microtubules to kinetochore","11/688","30/20761",1.50403800649642e-09,6.51932110452265e-07,5.34257328240641e-07,"Racgap1/Sgo1/Ndc80/Nek2/Nuf2/Knl1/Knstrn/Ect2/Kif2c/Ccnb1/Cenpe",11
"BP","GO:1901342","regulation of vasculature development","35/688","341/20761",3.50280444323204e-09,1.3917809654442e-06,1.14056228888398e-06,"Pdgfb/Itga5/Serpinf1/Ramp2/Aqp1/Wt1/Plcg1/Sparc/Dcn/Vash1/Plk2/C3/Nrp1/Eng/Dll4/Ecm1/Emilin1/Ephb4/Adgra2/Col4a2/Cx3cl1/Cdh5/Ets1/Tie1/Jcad/Ccl2/Meox2/Hspb6/Serpine1/Mmrn2/Aplnr/Adam12/Lep/Hipk2/Ecscr",35
"BP","GO:0044770","cell cycle phase transition","38/688","393/20761",3.95742393118614e-09,1.45146133106889e-06,1.18947025364882e-06,"Acvr1b/Ube2c/Foxm1/Rab11a/Birc5/Fbxo5/Cdk1/Plk2/Lats2/Mtbp/App/Ndc80/Lmnb1/Atp2b4/Cenpf/Cdc25b/Bub1/E2f1/Fam83d/Ccna2/Iqgap3/Ccne2/Cdkn2c/Rcc1/Cit/Mad2l1/Plk1/Ccnb2/Tacc3/Cdk5rap2/Ccnb1/Clspn/Fbxl7/Cirbp/Cenpe/Adam17/Taok2/Cks2",38
"BP","GO:0051983","regulation of chromosome segregation","18/688","101/20761",5.31944842988856e-09,1.81165215097919e-06,1.48464605802604e-06,"Birc5/Fbxo5/Racgap1/Ndc80/Sgo2a/Nek2/Knstrn/Bub1/Ect2/Kif2c/Cit/Mad2l1/Plk1/Mki67/Tacc3/Cdk5rap2/Ccnb1/Cenpe",18
"BP","GO:0044772","mitotic cell cycle phase transition","35/688","355/20761",9.9552979880859e-09,3.16445738714624e-06,2.59326779872104e-06,"Acvr1b/Ube2c/Foxm1/Rab11a/Birc5/Fbxo5/Cdk1/Plk2/Lats2/Mtbp/App/Ndc80/Lmnb1/Cenpf/Cdc25b/Bub1/E2f1/Ccna2/Iqgap3/Ccne2/Cdkn2c/Rcc1/Cit/Mad2l1/Plk1/Ccnb2/Tacc3/Cdk5rap2/Ccnb1/Clspn/Fbxl7/Cenpe/Adam17/Taok2/Cks2",35
"BP","GO:0045765","regulation of angiogenesis","32/688","307/20761",1.13797544168615e-08,3.39116681622474e-06,2.77905581548619e-06,"Itga5/Serpinf1/Ramp2/Aqp1/Plcg1/Sparc/Dcn/Vash1/Plk2/C3/Nrp1/Eng/Dll4/Ecm1/Emilin1/Adgra2/Col4a2/Cx3cl1/Cdh5/Ets1/Tie1/Jcad/Ccl2/Meox2/Hspb6/Serpine1/Mmrn2/Aplnr/Adam12/Lep/Hipk2/Ecscr",32
"BP","GO:0010631","epithelial cell migration","30/688","280/20761",1.74501828181819e-08,4.89426303982891e-06,4.01084078149172e-06,"Pdgfb/Serpinf1/Aqp1/Rab11a/Stc1/Plcg1/Sparc/Map2k3/Dcn/Pecam1/Vash1/Plk2/Myh9/Cd63/Nrp1/Pkn3/Dll4/Macf1/Pik3r3/Ephb4/Adgra2/Cdh13/Ets1/Jcad/Loxl2/Meox2/Serpine1/Mmrn2/Clec14a/Adam17",30
"BP","GO:0090132","epithelium migration","30/688","282/20761",2.05382361845215e-08,5.0298020493036e-06,4.12191478431096e-06,"Pdgfb/Serpinf1/Aqp1/Rab11a/Stc1/Plcg1/Sparc/Map2k3/Dcn/Pecam1/Vash1/Plk2/Myh9/Cd63/Nrp1/Pkn3/Dll4/Macf1/Pik3r3/Ephb4/Adgra2/Cdh13/Ets1/Jcad/Loxl2/Meox2/Serpine1/Mmrn2/Clec14a/Adam17",30
"BP","GO:0040013","negative regulation of locomotion","32/688","315/20761",2.10981629584882e-08,5.0298020493036e-06,4.12191478431096e-06,"Pdgfb/Serpinf1/Timp1/Ddt/Bcr/Stc1/Dcn/Vash1/Sema3g/Cd200/Arap3/Abhd6/Cd63/Nrp1/Eng/Egfl7/Dll4/Emilin1/Ppargc1a/Cx3cl1/Adgrg1/Robo4/Tie1/Meox2/Ndrg4/Clic4/Serpine1/Abhd2/Mmrn2/Adora1/Robo2/Dach1",32
"BP","GO:0051271","negative regulation of cellular component movement","32/688","315/20761",2.10981629584882e-08,5.0298020493036e-06,4.12191478431096e-06,"Pdgfb/Serpinf1/Timp1/Ddt/Bcr/Stc1/Actn1/Dcn/Vash1/Sema3g/Cd200/Arap3/Abhd6/Cd63/Nrp1/Eng/Egfl7/Dll4/Emilin1/Ppargc1a/Cx3cl1/Adgrg1/Robo4/Tie1/Meox2/Ndrg4/Clic4/Serpine1/Abhd2/Mmrn2/Adora1/Dach1",32
"BP","GO:0030336","negative regulation of cell migration","29/688","267/20761",2.22829710391345e-08,5.05929551974255e-06,4.14608463645451e-06,"Pdgfb/Serpinf1/Timp1/Ddt/Bcr/Stc1/Dcn/Vash1/Cd200/Arap3/Abhd6/Cd63/Eng/Egfl7/Dll4/Emilin1/Ppargc1a/Cx3cl1/Adgrg1/Robo4/Tie1/Meox2/Ndrg4/Clic4/Serpine1/Abhd2/Mmrn2/Adora1/Dach1",29
"BP","GO:0090130","tissue migration","30/688","284/20761",2.41321656122116e-08,5.23009843813751e-06,4.28605735658037e-06,"Pdgfb/Serpinf1/Aqp1/Rab11a/Stc1/Plcg1/Sparc/Map2k3/Dcn/Pecam1/Vash1/Plk2/Myh9/Cd63/Nrp1/Pkn3/Dll4/Macf1/Pik3r3/Ephb4/Adgra2/Cdh13/Ets1/Jcad/Loxl2/Meox2/Serpine1/Mmrn2/Clec14a/Adam17",30
"BP","GO:0001667","ameboidal-type cell migration","37/688","406/20761",3.04927065560229e-08,6.32127064604858e-06,5.18027124649689e-06,"Pdgfb/Acvr1b/Serpinf1/Timp1/Aqp1/Rab11a/Stc1/Plcg1/Anxa6/Sparc/Map2k3/Dcn/Pecam1/Vash1/Plk2/Sema3g/Myh9/Cd63/Nrp1/Sox17/Nrp2/Pkn3/Dll4/Macf1/Pik3r3/Ephb4/Ret/Adgra2/Cdh13/Ets1/Jcad/Loxl2/Meox2/Serpine1/Mmrn2/Clec14a/Adam17",37
"BP","GO:0000281","mitotic cytokinesis","14/688","68/20761",3.97656931725953e-08,7.90011771028893e-06,6.47413390599446e-06,"Kif20a/Birc5/Sptbn1/Racgap1/Cep55/Nusap1/Ect2/Stmn1/Cenpa/Cit/Plk1/Kif23/Kif4/Ckap2",14
"BP","GO:0031577","spindle checkpoint","11/688","40/20761",4.70438901569264e-08,8.97221073072901e-06,7.35271243210572e-06,"Birc5/Mtbp/Ndc80/Bub1/Aurka/Stil/Mad2l1/Plk1/Cdk5rap2/Ccnb1/Cenpe",11
"BP","GO:0043542","endothelial cell migration","24/688","199/20761",5.00858974971853e-08,9.18498304871459e-06,7.52707900848388e-06,"Pdgfb/Serpinf1/Stc1/Plcg1/Sparc/Map2k3/Dcn/Pecam1/Vash1/Plk2/Myh9/Nrp1/Dll4/Pik3r3/Ephb4/Adgra2/Cdh13/Ets1/Jcad/Loxl2/Meox2/Mmrn2/Clec14a/Adam17",24
"BP","GO:0009895","negative regulation of catabolic process","30/688","295/20761",5.6911882721142e-08,1.0050216919052e-05,8.23613678989782e-06,"Fmr1/Timp1/Cbfa2t3/Dazl/Psen2/Ddit4/Pbk/Laptm4b/Hsp90ab1/Cidea/Hdac4/Atp2b4/E2f1/Alad/Ppargc1a/Mad2l1/Timp4/Anxa2/Mycbp2/Dysf/Acacb/Adora1/Rasip1/Cirbp/Prkaa1/Lep/Hipk2/Clec16a/Ubxn1/Prkcg",30
"BP","GO:2000146","negative regulation of cell motility","29/688","280/20761",6.36077792333131e-08,1.0510831188734e-05,8.61360945173539e-06,"Pdgfb/Serpinf1/Timp1/Ddt/Bcr/Stc1/Dcn/Vash1/Cd200/Arap3/Abhd6/Cd63/Eng/Egfl7/Dll4/Emilin1/Ppargc1a/Cx3cl1/Adgrg1/Robo4/Tie1/Meox2/Ndrg4/Clic4/Serpine1/Abhd2/Mmrn2/Adora1/Dach1",29
