"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0010769","regulation of cell morphogenesis involved in differentiation","28/507","342/20761",2.67481651947142e-08,0.000124887183294121,9.42098534121197e-05,"Fmr1/Metrn/Ulk2/Fbln1/Pafah1b1/Nedd9/Sema4d/Gsk3b/Nedd4l/Ube3a/Nrp1/Myo5b/Trak2/Vim/Olfm1/Caprin1/Ephb2/Rnf6/Cux1/Ret/Ryk/Mycbp2/Mgll/Plxnb2/Picalm/Ntrk3/Bmpr2/Myadm",28
"BP","GO:0045785","positive regulation of cell adhesion","30/507","411/20761",1.10596678637232e-07,0.000253896622418304,0.000191529370340013,"Itga5/Nid1/Fbln1/Cav1/Zmiz1/Alox15/Utrn/Nedd9/Myo10/Gsk3b/Cxcl13/Anxa1/Cd63/Nrp1/Itga6/Cd1d1/Prkcz/Ret/Tnfsf13b/Adgrg1/Cdh13/Malt1/Ccl2/Sart1/Ndnf/Lep/Flot2/H2-T23/Lgals1/Myadm",30
"BP","GO:0050770","regulation of axonogenesis","20/507","205/20761",1.63137688424698e-07,0.000253896622418304,0.000191529370340013,"Metrn/Ulk2/Pafah1b1/Sema4d/Gsk3b/Nrp1/Myo5b/Trak2/Vim/Olfm1/Ephb2/Rnf6/Ret/Ryk/Mycbp2/Mgll/Plxnb2/Picalm/Ntrk3/Bmpr2",20
"BP","GO:0050808","synapse organization","31/507","450/20761",2.44957618785043e-07,0.000285926780526841,0.000215691629593356,"Fmr1/Adgre5/Cacnb3/Pgrmc1/Utrn/Pafah1b1/Sema4d/Gsk3b/App/C3/Sorbs1/Ube3a/Nrp1/Myo5b/Caprin1/Nfia/Ephb2/Adgrb2/Sparcl1/Gpm6a/Nrxn2/Tanc1/Plxnb2/Dock10/Picalm/Oxtr/Chchd10/Palld/Sez6l/Ntrk3/Tuba1a",31
"BP","GO:1990778","protein localization to cell periphery","26/507","347/20761",4.75914030929988e-07,0.000444408522082423,0.00033524386262984,"Ramp2/Cacnb3/Pgrmc1/Map7/Slc9a3r1/Sec23a/Gsk3b/Adipoq/Sorbs1/Myo5b/Lypla1/Blzf1/Optn/Snap23/Ephb2/Prkcz/Gas6/Anxa2/Picalm/Trarg1/Dlg2/Flot2/Kif1b/Myadm/Rap1a/Ehd2",26
"BP","GO:0045807","positive regulation of endocytosis","14/507","116/20761",9.31085537675942e-07,0.000724539729234829,0.000546563545449772,"Fmr1/Cav1/Lbp/Clu/C3/Nedd4l/Cd63/Add1/Anxa2/Trf/Serpine1/Picalm/Hip1/Gpc3",14
"BP","GO:0050768","negative regulation of neurogenesis","25/507","340/20761",1.11643496614161e-06,0.000744662122416452,0.000561743067174409,"Fmr1/Ulk2/Cav1/Ctsz/Pafah1b1/Sema4d/Gsk3b/App/Mbd1/Ube3a/Nrp1/Trak2/Vim/Olfm1/Ephb2/Rnf6/Adgrg1/Ryk/Atf5/Rap1gap2/Pbx1/Ntrk3/H2-K1/Lgals1/H2-D1",25
"BP","GO:0072659","protein localization to plasma membrane","22/507","278/20761",1.47597961361061e-06,0.000817950255666357,0.000617028678621508,"Ramp2/Cacnb3/Pgrmc1/Map7/Slc9a3r1/Sec23a/Adipoq/Sorbs1/Myo5b/Lypla1/Blzf1/Optn/Ephb2/Prkcz/Gas6/Anxa2/Picalm/Trarg1/Flot2/Myadm/Rap1a/Ehd2",22
"BP","GO:0071709","membrane assembly","8/507","35/20761",1.57668714949608e-06,0.000817950255666357,0.000617028678621508,"Cav2/Cav1/Ephb2/Stx2/Anxa2/Nrxn2/Picalm/Flot2",8
"BP","GO:0048638","regulation of developmental growth","27/507","398/20761",1.96966027641208e-06,0.00087925787219908,0.000663276671523964,"Ulk2/P2rx5/Wt1/Pafah1b1/Sema4d/Fgf9/Gsk3b/Cxadr/App/Sod1/Cdkn1a/C3/Nedd4l/Nrp1/Myo5b/Olfm1/Sfrp2/Rnf6/Ryk/Mgll/Serpine1/Picalm/Acacb/Plcb1/Ntrk3/Lep/Bmpr2",27
"BP","GO:0033674","positive regulation of kinase activity","30/507","474/20761",2.21986946252028e-06,0.00087925787219908,0.000663276671523964,"Mmd/Kit/Tab2/Taok1/Acsl1/Rad50/Nedd9/Clu/Adipoq/Sod1/Cdkn1a/Zfp91/Vldlr/Pfkfb1/Atp2b4/Nek6/Tpx2/Prkcz/Ret/Stk26/Syap1/Gas6/Trf/Malt1/Mdfic/Adora1/Tead1/Ntrk3/Lep/Rap1a",30
"BP","GO:0008088","axo-dendritic transport","11/507","76/20761",2.25981890477382e-06,0.00087925787219908,0.000663276671523964,"Fmr1/Pafah1b1/Hif1a/App/Sod1/Trak2/Dst/Arl8b/Dlg2/Flot2/Kif1b",11
"BP","GO:0040013","negative regulation of locomotion","23/507","315/20761",3.36798465386947e-06,0.00109641368084376,0.000827090253994032,"Fbln1/Slc9a3r1/Sema4d/Cd200/Gsk3b/Adipoq/Cxcl13/Cd63/Nrp1/Igfbp5/Olfm1/Sfrp2/Podn/Ppargc1a/Stk26/Adgrg1/Ryk/Tcaf1/Serpine1/Hoxa7/Adora1/Plcb1/Rhob",23
"BP","GO:0051271","negative regulation of cellular component movement","23/507","315/20761",3.36798465386947e-06,0.00109641368084376,0.000827090253994032,"Fbln1/Slc9a3r1/Sema4d/Cd200/Gsk3b/Adipoq/Cxcl13/Cd63/Nrp1/Igfbp5/Olfm1/Sfrp2/Podn/Ppargc1a/Stk26/Adgrg1/Ryk/Tcaf1/Serpine1/Hoxa7/Adora1/Plcb1/Rhob",23
"BP","GO:0045860","positive regulation of protein kinase activity","28/507","436/20761",3.67200437974327e-06,0.00109641368084376,0.000827090253994032,"Mmd/Kit/Tab2/Taok1/Acsl1/Nedd9/Clu/Adipoq/Sod1/Cdkn1a/Zfp91/Vldlr/Atp2b4/Nek6/Tpx2/Prkcz/Ret/Stk26/Syap1/Gas6/Trf/Malt1/Mdfic/Adora1/Tead1/Ntrk3/Lep/Rap1a",28
"BP","GO:0051961","negative regulation of nervous system development","25/507","365/20761",3.98391679938649e-06,0.00109641368084376,0.000827090253994032,"Fmr1/Ulk2/Cav1/Ctsz/Pafah1b1/Sema4d/Gsk3b/App/Mbd1/Ube3a/Nrp1/Trak2/Vim/Olfm1/Ephb2/Rnf6/Adgrg1/Ryk/Atf5/Rap1gap2/Pbx1/Ntrk3/H2-K1/Lgals1/H2-D1",25
"BP","GO:0010721","negative regulation of cell development","26/507","389/20761",3.99208236760419e-06,0.00109641368084376,0.000827090253994032,"Fmr1/Ulk2/Fbln1/Cav1/Ctsz/Pafah1b1/Sema4d/Gsk3b/App/Mbd1/Ube3a/Nrp1/Trak2/Vim/Olfm1/Ephb2/Rnf6/Adgrg1/Ryk/Atf5/Rap1gap2/Pbx1/Ntrk3/H2-K1/Lgals1/H2-D1",26
"BP","GO:0050890","cognition","23/507","321/20761",4.61191644557144e-06,0.00119627988246517,0.000902425288121757,"Comt/Zfp385a/Itga5/Prkar2b/Kit/Pgrmc1/Pafah1b1/Hif1a/App/Pja2/Ephb2/Prkcz/Nrxn2/Tanc1/Picalm/Atp1a3/Adora1/Lrrn4/Oxtr/Plcb1/Gmfb/Shroom4/Grcc10",23
"BP","GO:0030100","regulation of endocytosis","18/507","214/20761",5.68651673982871e-06,0.00138138062916285,0.00104205782488731,"Fmr1/Cav1/Lbp/Alox15/Clu/C3/Nedd4l/Cd63/Rspo1/Add1/Cdh13/Anxa2/Trf/Serpine1/Picalm/Hip1/Ankrd13a/Gpc3",18
"BP","GO:0010977","negative regulation of neuron projection development","16/507","175/20761",6.51322323109477e-06,0.00138138062916285,0.00104205782488731,"Ulk2/Ctsz/Pafah1b1/Sema4d/Gsk3b/Ube3a/Nrp1/Trak2/Vim/Ephb2/Rnf6/Ryk/Rap1gap2/H2-K1/Lgals1/H2-D1",16
"BP","GO:0045444","fat cell differentiation","19/507","238/20761",6.72115790824837e-06,0.00138138062916285,0.00104205782488731,"Zfp385a/Zfp36l1/Gsk3b/Adipoq/Psmb8/Itga6/Wwtr1/Sfrp2/Rorc/Ppargc1a/Syap1/Atf5/Adig/Plcb1/Ffar2/Lrrc8c/Cebpb/Lep/Gpx1",19
"BP","GO:0045665","negative regulation of neuron differentiation","20/507","260/20761",6.75127489759147e-06,0.00138138062916285,0.00104205782488731,"Fmr1/Ulk2/Cav1/Ctsz/Pafah1b1/Sema4d/Gsk3b/App/Ube3a/Nrp1/Trak2/Vim/Ephb2/Rnf6/Ryk/Rap1gap2/Pbx1/H2-K1/Lgals1/H2-D1",20
"BP","GO:0044091","membrane biogenesis","8/507","42/20761",6.80483068553127e-06,0.00138138062916285,0.00104205782488731,"Cav2/Cav1/Ephb2/Stx2/Anxa2/Nrxn2/Picalm/Flot2",8
