"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"mmu04610","Complement and coagulation cascades",88,-0.729026163760487,-2.19886962588506,0.000191314329443275,0.000191314329443275,0.0198647977540616,1411,"tags=38%, list=7%, signal=35%","Itgax/Serpina1b/Kng2/Serpina1a/Hc/F11/Serpinc1/F13b/Serpina5/Cfhr2/Mbl1/F12/Serpine1/Cpb2/Serpinf2/Serpina1d/Proc/F9/C4bp/Mbl2/Cfi/Serpina1e/Serpina1c/Fgg/C8a/C8b/F2/Fgb/Plg/Serpind1/C9/Kng1/Fga"
"mmu00830","Retinol metabolism",78,-0.695687151895327,-2.06630103996218,0.000191754554170662,0.000191754554170662,0.0198647977540616,1142,"tags=35%, list=6%, signal=33%","Bco1/Sdr16c5/Aox4/Cyp2c70/Ugt2a3/Cyp2b9/Ugt1a2/Hsd17b6/Cyp4a12b/Cyp3a11/Aox2/Cyp2a12/Ugt2b36/Ugt2b34/Cyp4a12a/Rdh7/Ugt2b38/Cyp1a2/Ugt2b5/Cyp2c54/Cyp2a5/Ugt2b35/Cyp3a25/Ugt2b1/Cyp2c29/Ugt1a5/Cyp2c50"
"mmu00140","Steroid hormone biosynthesis",72,-0.722373778616175,-2.11553643796408,0.000192566917003659,0.000192566917003659,0.0198647977540616,954,"tags=49%, list=5%, signal=46%","Ugt2a2/Cyp2c23/Cyp3a13/Hsd11b2/Cyp2d11/Hsd3b1/Cyp2b23/Hsd17b2/Tomt/Cyp2c70/Ugt2a3/Cyp2b9/Ugt1a2/Hsd3b4/Hsd17b6/Cyp2d26/Cyp11a1/Akr1d1/Cyp3a11/Ugt2b36/Cyp2d9/Ugt2b34/Ugt2b38/Cyp1a2/Ugt2b5/Cyp2c54/Ugt2b35/Cyp3a25/Ugt2b1/Cyp2c29/Ugt1a5/Cyp2d10/Hsd3b5/Hsd3b3/Cyp2c50"
"mmu01240","Biosynthesis of cofactors",147,-0.563129428749744,-1.81866137537123,0.000371057513914657,0.000371057513914657,0.0287081339712919,1557,"tags=15%, list=8%, signal=14%","Alas1/Bcat1/Ido1/Bco1/Sdr16c5/Nmnat2/Ugt2a3/Ugt1a2/Hsd17b6/Pklr/Kynu/Ugt2b36/Ido2/Ugt2b34/Ugt2b38/Gulo/Ugt2b5/Ugt2b35/Ugt2b1/Ugt1a5/Rgn/Mat1a"
"mmu05204","Chemical carcinogenesis",82,-0.641653211183601,-1.91853510265626,0.000572737686139748,0.000572737686139748,0.035449448363176,954,"tags=26%, list=5%, signal=24%","Cyp2c70/Ugt2a3/Cyp2b9/Ugt1a2/Gsta1/Gm3776/Cyp3a11/Ugt2b36/Gm10639/Ugt2b34/Ugt2b38/Cyp1a2/Ugt2b5/Cyp2c54/Ugt2b35/Cyp3a25/Ugt2b1/Cyp2c29/Ugt1a5/Sult2a8/Cyp2c50"
"mmu00053","Ascorbate and aldarate metabolism",26,-0.835337867757868,-2.04062159561291,0.00159299084030267,0.00159299084030267,0.0794201071541128,854,"tags=42%, list=4%, signal=41%","Ugt2a3/Ugt1a2/Ugt2b36/Ugt2b34/Ugt2b38/Gulo/Ugt2b5/Ugt2b35/Ugt2b1/Ugt1a5/Rgn"
"mmu00040","Pentose and glucuronate interconversions",31,-0.786650670502669,-1.98588964951188,0.00179640718562874,0.00179640718562874,0.0794201071541128,854,"tags=32%, list=4%, signal=31%","Kl/Ugt2a3/Ugt1a2/Ugt2b36/Ugt2b34/Ugt2b38/Ugt2b5/Ugt2b35/Ugt2b1/Ugt1a5"
"mmu04976","Bile secretion",85,-0.606903804586291,-1.82404460273016,0.00209723546234509,0.00209723546234509,0.0811298981486127,855,"tags=24%, list=4%, signal=23%","Atp1a4/Ugt2a3/Ugt1a2/Slco1a4/Baat/Slc22a1/Ugt2b36/Ugt2b34/Sct/Ugt2b38/Slc22a7/Slc10a1/Ugt2b5/Ugt2b35/Ugt2b1/Slco1a1/Ugt1a5/Slco1b2/Sult2a8/Abcb11"
"mmu00860","Porphyrin and chlorophyll metabolism",38,-0.731538989799332,-1.9227144505216,0.002738118521416,0.002738118521416,0.0941528474030764,854,"tags=26%, list=4%, signal=25%","Alas1/Ugt2a3/Ugt1a2/Ugt2b36/Ugt2b34/Ugt2b38/Ugt2b5/Ugt2b35/Ugt2b1/Ugt1a5"
"mmu04726","Serotonergic synapse",117,-0.53934104167981,-1.69381381211733,0.00414624952883528,0.00414624952883528,0.128315511734481,1976,"tags=35%, list=10%, signal=32%","Cacna1c/Plcb2/Gng11/Gng3/Prkcg/Rapgef3/Cyp4x1/Kcnd2/Gnb3/Htr4/Adcy5/Nras/Plcb1/Cyp2c23/Cyp2j8/Gabrb2/Cyp2d11/Gm5741/Gng2/Gnao1/Htr2b/Htr7/Alox8/Slc18a1/Cyp2c70/Htr1b/Cyp2j11/Cyp2d26/Gng4/Gabrb3/Htr2a/Cyp2j13/Cacna1f/Cyp2d9/Pla2g4e/Tph2/Cyp2c54/Cyp2j5/Cyp2c29/Cyp2d10/Cyp2c50"
