Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
HFD14_1	pass	0.0	warn	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	warn	11082535.0	pass	fail	pass	49.0	51.4261786734	HFD14_1.fastq.gz	warn	pass
HFD14_2	pass	0.0	warn	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	warn	11082535.0	pass	fail	pass	49.0	53.7537617211	HFD14_2.fastq.gz	pass	pass
HFD16_1	pass	0.0	warn	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	warn	11142401.0	pass	fail	pass	49.0	50.3623578333	HFD16_1.fastq.gz	pass	pass
HFD16_2	pass	0.0	warn	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	warn	11142401.0	pass	fail	pass	49.0	54.1938521096	HFD16_2.fastq.gz	pass	pass
HFD24_1	pass	0.0	warn	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	warn	11074499.0	pass	fail	pass	49.0	50.2154569734	HFD24_1.fastq.gz	pass	pass
HFD24_2	pass	0.0	warn	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	warn	11074499.0	pass	fail	pass	49.0	53.1272855494	HFD24_2.fastq.gz	pass	pass
HFD25_1	pass	0.0	fail	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	warn	11091016.0	pass	fail	pass	49.0	49.5605754379	HFD25_1.fastq.gz	pass	pass
HFD25_2	pass	0.0	warn	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	warn	11091016.0	pass	fail	pass	49.0	51.7557415507	HFD25_2.fastq.gz	pass	pass
HFD35_1	pass	0.0	fail	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	warn	11129836.0	pass	fail	pass	49.0	49.6285738337	HFD35_1.fastq.gz	pass	pass
HFD35_2	pass	0.0	warn	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	warn	11129836.0	pass	fail	pass	49.0	52.2204010007	HFD35_2.fastq.gz	pass	pass
