Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
HFD14_1	48.5738213266	100.0	11082535.0	9.09090909091	49.0
HFD14_2	46.2462382789	100.0	11082535.0	9.09090909091	49.0
HFD16_1	49.6376421667	100.0	11142401.0	9.09090909091	49.0
HFD16_2	45.8061478904	100.0	11142401.0	9.09090909091	49.0
HFD24_1	49.7845430266	100.0	11074499.0	9.09090909091	49.0
HFD24_2	46.8727144506	100.0	11074499.0	9.09090909091	49.0
HFD25_1	50.4394245621	100.0	11091016.0	18.1818181818	49.0
HFD25_2	48.2442584493	100.0	11091016.0	9.09090909091	49.0
HFD35_1	50.3714261663	100.0	11129836.0	18.1818181818	49.0
HFD35_2	47.7795989993	100.0	11129836.0	9.09090909091	49.0
LFD24_1	48.1037336654	100.0	10839043.0	9.09090909091	49.0
LFD24_2	47.2786551076	100.0	10839043.0	9.09090909091	49.0
LFD25_1	51.3950436612	100.0	10938769.0	18.1818181818	49.0
LFD25_2	48.9716167381	100.0	10938769.0	9.09090909091	49.0
LFD34_1	47.470240749	100.0	10914641.0	9.09090909091	49.0
LFD34_2	46.3935206341	100.0	10914641.0	9.09090909091	48.0
LFD35_1	47.0346811929	100.0	11023566.0	9.09090909091	49.0
LFD35_2	44.7404145682	100.0	11023566.0	9.09090909091	49.0
LFD37_1	47.20599023	100.0	10993710.0	9.09090909091	49.0
LFD37_2	44.8313578595	100.0	10993710.0	9.09090909091	49.0
Lingon14_1	50.9116970235	100.0	10991750.0	18.1818181818	49.0
Lingon14_2	47.4778620302	100.0	10991750.0	9.09090909091	48.0
Lingon24_1	50.7516704222	100.0	11053941.0	18.1818181818	49.0
Lingon24_2	47.8262577366	100.0	11053941.0	9.09090909091	49.0
Lingon34_1	46.2346905957	100.0	11032112.0	9.09090909091	49.0
Lingon34_2	43.7691492405	100.0	11032112.0	9.09090909091	49.0
Lingon35_1	51.5733927582	100.0	10788767.0	18.1818181818	48.0
Lingon35_2	48.9417484363	100.0	10788767.0	9.09090909091	48.0
Lingon36_1	49.9568764198	100.0	11105254.0	9.09090909091	48.0
Lingon36_2	47.2151911864	100.0	11105254.0	9.09090909091	48.0
