Module	Section	Sample Name	Source
FastQC	all_sections	HFD24_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/HFD24_2_fastqc.zip
FastQC	all_sections	HFD24_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/HFD24_1_fastqc.zip
FastQC	all_sections	LFD34_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/LFD34_1_fastqc.zip
FastQC	all_sections	LFD34_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/LFD34_2_fastqc.zip
FastQC	all_sections	HFD16_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/HFD16_1_fastqc.zip
FastQC	all_sections	Lingon36_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/Lingon36_2_fastqc.zip
FastQC	all_sections	Lingon36_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/Lingon36_1_fastqc.zip
FastQC	all_sections	HFD16_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/HFD16_2_fastqc.zip
FastQC	all_sections	HFD25_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/HFD25_2_fastqc.zip
FastQC	all_sections	HFD25_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/HFD25_1_fastqc.zip
FastQC	all_sections	LFD37_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/LFD37_2_fastqc.zip
FastQC	all_sections	LFD37_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/LFD37_1_fastqc.zip
FastQC	all_sections	Lingon34_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/Lingon34_1_fastqc.zip
FastQC	all_sections	LFD35_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/LFD35_1_fastqc.zip
FastQC	all_sections	HFD14_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/HFD14_1_fastqc.zip
FastQC	all_sections	Lingon34_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/Lingon34_2_fastqc.zip
FastQC	all_sections	Lingon35_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/Lingon35_1_fastqc.zip
FastQC	all_sections	Lingon35_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/Lingon35_2_fastqc.zip
FastQC	all_sections	HFD14_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/HFD14_2_fastqc.zip
FastQC	all_sections	Lingon24_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/Lingon24_2_fastqc.zip
FastQC	all_sections	LFD35_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/LFD35_2_fastqc.zip
FastQC	all_sections	Lingon24_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/Lingon24_1_fastqc.zip
FastQC	all_sections	LFD24_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/LFD24_2_fastqc.zip
FastQC	all_sections	LFD24_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/LFD24_1_fastqc.zip
FastQC	all_sections	HFD35_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/HFD35_1_fastqc.zip
FastQC	all_sections	HFD35_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/HFD35_2_fastqc.zip
FastQC	all_sections	Lingon14_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/Lingon14_2_fastqc.zip
FastQC	all_sections	Lingon14_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/Lingon14_1_fastqc.zip
FastQC	all_sections	LFD25_2	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/LFD25_2_fastqc.zip
FastQC	all_sections	LFD25_1	/gpfs/gpfs0/Active_Projects/Mouse_Adipocite_Lingonberry/Private/musLingon/nbis/Data/fastq/LFD25_1_fastqc.zip
