Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
HFD14_1	48.5751436063	49.0	100.0	11082535.0	16.6666666667
HFD14_2	46.2475489376	49.0	100.0	11082535.0	16.6666666667
HFD16_1	49.6388266353	49.0	100.0	11142401.0	16.6666666667
HFD16_2	45.8074647168	49.0	100.0	11142401.0	16.6666666667
HFD24_1	49.7857999146	49.0	100.0	11074499.0	16.6666666667
HFD24_2	46.87403595	49.0	100.0	11074499.0	16.6666666667
HFD25_1	50.4405331975	49.0	100.0	11091016.0	25.0
HFD25_2	48.2454340665	49.0	100.0	11091016.0	16.6666666667
HFD35_1	50.3725223897	49.0	100.0	11129836.0	25.0
HFD35_2	47.7805779063	49.0	100.0	11129836.0	16.6666666667
Lingon14_1	50.9129775844	49.0	100.0	10991750.0	25.0
Lingon14_2	47.4791457737	48.0	100.0	10991750.0	16.6666666667
Lingon24_1	50.7528558035	49.0	100.0	11053941.0	25.0
Lingon24_2	47.8272415249	49.0	100.0	11053941.0	16.6666666667
Lingon34_1	46.2356570692	49.0	100.0	11032112.0	16.6666666667
Lingon34_2	43.7699789886	49.0	100.0	11032112.0	16.6666666667
Lingon35_1	51.5744698485	48.0	100.0	10788767.0	25.0
Lingon35_2	48.9426949895	48.0	100.0	10788767.0	16.6666666667
Lingon36_1	49.9579218341	48.0	100.0	11105254.0	16.6666666667
Lingon36_2	47.2163815456	48.0	100.0	11105254.0	16.6666666667
